,0,1,2
116,DHF,Dreyfus High Yield Strategic Fund,1057861
117,DHFT,"Diamond Hill Financial Trends Fund, Inc.",852954
118,DHG,DWS Dreman Value Income Edge Fund,1375387
119,DHY,Credit Suisse High Yield Bond Fund,1061353
120,DMF,"Dreyfus Municipal Income, Inc.",839122
121,DNP,DNP Select Income Fund,806628
122,DNY,Denali Fund,1187520
123,DPD,Dow 30 Premium & Dividend Income Fund,1314128
124,DPO,Dow 30 Enhanced Premium & Income Fund,1390840
125,DRP,DWS RREEF World Real Estate & Tactical Strategies Fund,1395999
126,DSM,"Dreyfus Strategic Municipal Bond Fund, Inc.",855887
127,DSU,Debt Strategies Fund II,1051003
128,DTF,"DTF Tax-Free Income, Inc.",879535
129,DUC,Duff & Phelps Utility and Corporate Bond Trust,894239
130,DVF,BlackRock Diversified Income Strategies Fund,1303649
131,DVM,Cohen and Steers Dividend Majors Fund,1302868
132,EAD,Evergreen Income Advantage Fund,1210123
133,EBI,Evergreen International Balanced Income Fund,1336593
134,ECF,Ellsworth Fund Ltd,793040
135,EDD,Morgan Stanley Emerging Markets Domestic Debt Fund,1388141
136,EEA,European Equity Fund,791718
137,EFL,Salomon Brothers Emerging Markets Floating Rate Fund,918708
138,EFR,Eaton Vance Senior Floating Rate Trust,1258623
139,EFT,Eaton Vance Floating-Rate Income Trust,1288992
140,EGF,BlackRock Enhanced Government Fund,1336050
141,EGX,"Engex, Inc.",32598
142,EHI,Western Asset Global High Income Fund Inc,1228509
143,EIA,Eaton Vance Insured California Municipal Bond Fund II,1196869
144,EIM,Eaton Vance Insured Municipal Bond Fund,1176984
145,EIO,Eaton Vance Insured Ohio Municipal Bond Fund,1196876
146,EIP,Eaton Vance Insured Pennsylvania Municipal Bond Fund,1196877
147,EIV,Eaton Vance Insured Municipal Bond Fund II,1196867
148,EMD,Salomon Brothers Emerging Markets Income Fund,890340
149,EMF,"Templeton Emerging Markets Fund, Inc.",809708
150,EMI,Eaton Vance Michigan Municipal Income Trust,1074688
151,EMJ,Eaton Vance Insured New Jersey Municipal Bond Fund,1196874
152,ENX,Eaton Vance Insured New York Municipal Bond Fund,1177162
153,EOD,Evergreen Global Dividend Opportunity Fund,1386067
154,EOE,Eaton Vance Credit Opportunities Fund,1340735
155,EOI,Eaton Vance Enhanced Equity Income Trust,1300391
156,EOS,Eaton Vance Enhanced Equity Income Trust II,1308335
157,EQS,"Equus Total Return, Inc",878932
158,ERC,Wells Fargo Advantage Multi-Sector Income Fund,1227073
159,ERH,Evergreen Utilities and High Income Fund,1279014
160,ESD,Western Asset Emerging Markets Debt Fund Inc,1227862
161,ETB,Eaton Vance Tax-Managed Buy-Write Income Fund,1308927
162,ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,1270523
163,ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund,1395325
164,ETO,Eaton Vance Tax-Advantaged Global Dividend Opportunities Fund,1281926
165,ETV,Eaton Vance Tax-Managed Buy-Write Opportunities Fund,1322436
166,ETW,Eaton Vance Tax-Managed Global Buy-Write Opportunities Fund,1322435
167,ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,1340736
168,EVF,Eaton Vance Senior Income Trust,1070732
169,EVG,Eaton Vance Short Duration Diversified Income Fund,1287498
170,EVJ,Eaton Vance New Jersey Municipal Income Trust,1074691
171,EVM,Eaton Vance Insured California Municipal Bond Fund,1177161
172,EVN,Eaton Vance Municipal Income Trust,1074540
173,EVO,Eaton Vance Ohio Municipal Income Trust,1074686
174,EVP,Eaton Vance Pennsylvania Municipal Income Trust,1074687
175,EVT,Eaton Vance Tax-Advantaged Dividend Income Fund,1253327
176,EVV,Eaton Vance Limited Duration Income Fund,1222922
177,EVY,Eaton Vance New York Municipal Income Trust,1074685
178,EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,1379438
179,FAM,First Trust/Aberdeen Global Opportunity Income Fund,1302624
180,FAV,First Trust Active Dividend Income Fund,1403275
181,FAX,"Aberdeen Asia-Pacific Income Fund, Inc.",790500
182,FCM,First Trust/Four Corners Senior Floating Rate Income Fund,1232461
183,FCO,"Aberdeen Global Income Fund, Inc.",876717
184,FDI,"Fort Dearborn Income Securities, Inc.",38188
185,FEN,Energy Income & Growth,1284940
186,FEO,First Trust/Aberdeen Emerging Opportunities Fund,1363438
187,FEV,Eaton Vance Florida Municipal Income Trust,1074684
188,FF,"First Opportunity Fund, Inc.",790202
189,FFA,First Trust Enhanced Equity Income Fund,1291334
190,FFC,Flaherty &Crumrine/Claymore Preferred Securities Income Fund,1174164
191,FFD,Morgan Stanley Frontier Emerging Markets Fund,1434130
192,FGB,First Trust Specialty Finance & Financial Opportunities Fund,1392994
193,FGF,SunAmerica Focused Alpha Growth Fund,1327129
194,FGI,SunAmerica Focused Alpha Large-Cap Fund,1338170
195,FHI,First Trust Strategic High Income Fund,1323520
196,FHO,First Trust Strategic High Income Fund III,1380534
197,FHY,First Trust Strategic High Income Fund II,1329388
198,FLC,Flaherty & Crumrine/Claymore Total Return Fund,1245648
199,FMN,Federated Premier Municipal Income Fund,1199004
200,FMO,Fiduciary/Claymore MLP Opportunity Fund,1305197
201,FMY,First Trust/FIDAC Mortgage Income Fund,1319183
202,FOF,Cohen and Steers Closed-End Opportunity Fund,1375340
203,FPI,First Trust Tax-Advantaged Preferred Income Fund,1356750
204,FPT,Federated Premier Intermediate Municipal Income Fund,1202806
205,FRA,Floating Rate Income Strategies Fund,1259708
206,FRB,"BlackRock Floating Rate Income Strategies Fund II, Inc",1269143
207,FT,Franklin Universal Trust,833040
208,FTF,Franklin Templeton Limited Duration Income Trust,1233087
209,FUND,"Royce Focus Trust, Inc.",825202
210,FVL,First Trust Value Line 100 Fund,1329377
211,FXX,Foxby Corp.,1068897
212,GAB,Gabelli Equity Trust Inc.,794685
213,GAM,"General American Investors Company, Inc.",40417
214,GCF,Global Income & Currency Fund,1334510
215,GCH,"The Greater China Fund, Inc.",887546
216,GCS,Scudder Gl Cmmdts Stk,1296115
217,GCV,Gabelli Convertible and Income Securities Fund,845611
218,GDF,Global Partners Income Fund,911638
219,GDL,The Gabelli Global Deal Fund.,1378701
220,GDV,Gabelli Dividend and Income Trust,126072
221,GF,"The New Germany Fund, Inc.",858706
222,GFY,Western Asset Variable Rate Strategic Fund,1299393
223,GGN,"The Gabelli Global Gold, Natural Resources & Income Trust",1313510
224,GGT,Gabelli Global Multimedia Trust Inc.,921671
225,GHI,"Salomon Brothers Global High Income Dollar Fund, Inc.",897996
226,GIFD,Global Income Fund,1031235
227,GIM,"Templeton Global Income Fund, Inc.",828803
228,GLAD,Gladstone Capital Corporation,114513
229,GLO,Clough Global Opportunities Fund,1350869
230,GLQ,Clough Global Equity Fund,1316463
231,GLU,Gabelli Global Utility & Income Trust,1282957
232,GLV,Clough Global Allocation Fund,1288795
233,GOF,Claymore/Guggenheim Strategic Opportunities Fund,1380936
234,GRE,S&P 500 Geared Fund,1299506
235,GRF,Eagle Capital Growth Fund,850027
236,GRR,Asia Tigers Fund,912729
237,GRX,Gabelli Healthcare & Wellness Trust,1391437
238,GUT,Gabelli Utility Trust,1080720
239,HAV,Helios Advantage Income Fund,1302246
240,HCD,"Highland Distressed Opportunities, Inc.",1373641
241,HCE,Fiduciary/Claymore Dynamic Equity Fund,1311877
242,HCF,Highland Credit Strategies Fund,1356115
243,HIF,Western Asset High Income Fund Inc,891760
244,HIH,Helios High Income Fund,1227122
245,HIO,High Income Opportunity Fund,910068
246,HIS,Black Rock High Income Shares,830474
247,HIX,Salomon Brothers High Income Fund II,1058239
248,HMH,Helios Multi-Sector High Income Fund,1343602
249,HNW,Pioneer Diversified High Income Trust,1388126
250,HPF,John Hancock Preferred Income Fund II,1189740
251,HPI,John Hancock Preferred Income Fund,1176199
252,HPS,John Hancock Preferred Income Fund III,1215913
253,HQH,H&Q Healthcare Investors,805267
254,HSA,Helios Strategic Income Fund,1275902
255,HSF,Hartford Income Shares,86317
256,HSM,"Helios Strategic Mortgage Income Fund, Inc",1173788
257,HTD,John Hancock Tax-Advantaged Dividend Income Fund,1260041
258,HTR,Helios Total Return Fund,851169
259,HTY,John Hancock Tax-Advantaged Global Shareholder Yield Fund,1396502
260,HYB,"New America High Income Fund, Inc.",825345
261,HYF,MANAGED HIGH YIELD PLUS FUND INC,1060392
262,HYI,"High Yield Income Fund, Inc.",820537
263,HYP,"High Yield Plus Fund, Inc.",828990
264,HYT,Corporate High Yield Fund VI,1222401
265,HYV,Corporate High Yield Fund V,1160469
266,IAE,ING Asia Pacific High Dividend Equity Income Fund,1385632
267,IAF,"Aberdeen Australia Equity Fund, Inc.",779336
268,ICB,"Morgan Stanley Income Securities, Inc.",93284
269,ICS,Morgan Stanley Insured California Municipal Securities,913342
270,IF,"Indonesia Fund, Inc.",859120
271,IFN,The India Fund,917100
272,IGA,ING Global Advantage & Premium Opportunity Fund,1332943
273,IGD,ING Global Equity Dividend & Premium Opportunity Fund,1285890
274,IIA,ING Clarion Real Estate Income Fund,1254634
275,IIC,Morgan Stanley California Insured Municipal Income Trust,894146
276,IID,ING International High Dividend Equity Income Fund,1395627
277,IIF,Morgan Stanley India Investment Fund,916618
278,IIM,Morgan Stanley Insured Municipal Income Trust,885601
279,IMC,Morgan Stanley Insured Municipal Bond Trust,861185
280,IMS,Morgan Stanley Insured Municipal Securities,913345
281,IMT,Morgan Stanley Insured Municipal Trust,880161
282,INB,Cohen and Steers Global Income Builder Fund,1395057
283,IQC,Morgan Stanley California Quality Municipal Securities,898618
284,IQI,Morgan Stanley Quality Municipal Income Trust,885125
285,IQM,Morgan Stanley Quality Municipal Securities,898496
286,IQN,Morgan Stanley New York Quality Municipal Securities,898659
287,IQT,Morgan Stanley Quality Municipal Investment Trust,876982
288,IRL,"The New Ireland Fund, Inc.",858707
289,IRR,ING Risk Managed Natural Resources Fund,1372117
290,ISL,"First Israel Fund, Inc.",865277
291,JCE,Nuveen Core Equity Alpha Fund,1385763
292,JDD,Nuveen Diversified Dividend & Income Fund,1255821
293,JEQ,Japan Equity Fund,866095
294,JFC,"Jardine Fleming China Region Fund, Inc.",888137
295,JFP,Nuveen Tax-Advantaged Floating Rate Fund,1313259
296,JFR,Nuveen Floating Rate Income Fund,1276533
297,JGG,Nuveen Global Government Enhanced Income Fund,1359816
298,JGT,Nuveen Multi-Currency Short-Term Government Income Fund,1390109
299,JGV,Nuveen Global Value Opportunities Fund,1363421
300,JHI,John Hancock Investors Trust,759828
301,JHP,Nuveen Quality Preferred Income Fund 3,1200446
302,JHS,John Hancock Income Securities Trust,759866
303,JLA,Nuveen Equity Premium Advantage Fund,1320492
304,JOF,"Japan Smaller Capitalization Fund, Inc.",859796
305,JPC,Nuveen Multi-Strategy Income and Growth Fund,1216583
306,JPG,Nuveen Equity Premium & Growth Fund,1338561
307,JPS,Nuveen Quality Preferred Income Fund 2,1176433
308,JPZ,Nuveen Equity Premium Income Fund,1298699
309,JQC,Nuveen Multi-Strategy Income & Growth Fund 2,1227476
310,JRO,Nuveen Floating Rate Income Opportunity Fund,1289213
311,JRS,Nuveen Real Estate Fund,1158289
312,JSN,Nuveen Equity Premium Opportunity Fund,1308658
313,JTA,Nuveen Tax-Advantaged Total Return Strategy Fund,1265708
314,JTD,Nuveen Tax-Advantaged Dividend Growth Fund,1397173
315,JTP,Nuveen Quality Preferred Income Fund,1172168
316,KED,Kayne Anderson Energy Development Company,1363890
317,KEF,Korean Equity Fund Inc.,912023
318,KF,"The Korea Fund, Inc.",748691
319,KHI,DWS High Income Trust,830160
320,KMM,DWS Multi-Market Income Trust,842905
321,KSM,DWS Strategic Municipal Income Trust,846596
322,KST,DWS Strategic Income Trust,919708
323,KTF,DWS Municipal Income Trust,839533
324,KYE,Kayne Anderson Energy Total Return Fund,1322652
325,KYN,Kayne Anderson MLP Investment Company,1293613
326,LBF,"DWS Global High Income Fund, Inc",887590
327,LCM,Advent/Claymore Enhanced Growth & Income Fund,1278460
328,LDF,"Latin American Discovery Fund, Inc.",884461
329,LEO,"Dreyfus Strategic Municipals, Inc.",818972
330,LGI,"Lazard Global Total Return and Income Fund, Inc.",1278211
331,LOR,"Lazard World Dividend & Income Fund, Inc.",1323206
332,MAB,Eaton Vance Insured Massachusetts Municipal Bond Fund,1196871
333,MAF,Municipal Advantage Fund,897951
334,MAV,Pioneer Municipal High Income Advantage Trust,1258943
335,MAY,"The Malaysia Fund, Inc.",811797
336,MCA,"MuniYield California Insured Fund II, Inc.",888410
337,MCI,MassMutual Corporate Investors,275694
338,MCN,Madison/Claymore Covered Call & Equity Strategy Fund,1289868
339,MCR,MFS Charter Income Trust,851170
340,MEN,"MuniEnhanced Fund, Inc.",844172
341,MFL,BlackRock MuniHoldings Investment Quality Fund,1045126
342,MFM,MFS Municipal Income Trust,801961
343,MFT,BlackRock MuniYield Investment Quality Fund,891188
344,MFV,MFS Special Value Trust,856128
345,MGB,Morgan Stanley Global Opportunity Bond Fund,921187
346,MGF,MFS Government Markets Income Trust,811922
347,MGU,Macquarie Global Infrastructure Total Return Fund,1326390
348,MHD,"MuniHoldings Fund, Inc.",1034665
349,MHE,Massachusetts Health & Education Tax-Exempt Trust,901824
350,MHF,"Municipal High Income Fund, Inc.",830487
351,MHI,Pioneer Municipal High Income Trust,1223026
352,MHN,MuniHoldings New York Insured Fund,1038186
353,MHY,Western Asset Managed High Income Portfolio,895523
354,MIN,MFS Intermediate Income Trust,826735
355,MIW,Eaton Vance Insured Michigan Municipal Bond Fund,1196872
356,MIY,MuniYield Michigan Insured Fund,890393
357,MJI,MuniYield New Jersey Insured Fund,891037
358,MMT,MFS Multimarket Income Trust,809173
359,MMU,Managed Municipals Portfolio,886043
360,MMV,Eaton Vance Massachusetts Municipal Income Trust,1074690
361,MNE,BlackRock Muni New York Intermediate Duration Fund,1232863
362,MNP,Western Asset Municipal Partners Fund Inc,894351
363,MPA,MuniYield Pennsylvania Insured Fund,891038
364,MPV,MassMutual Participation Investors,831655
365,MQT,MuniYield Quality Fund II,887394
366,MQY,MuniYield Quality Fund,890196
367,MRF,"American Income Fund, Inc.",838131
368,MSD,Morgan Stanley Emerging Markets Debt Fund,904112
369,MSF,Morgan Stanley Emerging Markets Fund,878929
370,MSP,Madison Strategic Sector Premium Fund,1317080
371,MSY,"Invesco High Yield Investments Fund, Inc",912734
372,MTP,MLP & Strategic Equity Fund,1389611
373,MTS,"Montgomery Street Income Securities, Inc.",67813
374,MUA,MuniAssets Fund,901243
375,MUC,MuniHoldings California Insured Fund,1051004
376,MUE,MuniHoldings Insured Fund II,1071899
377,MUH,"MuniHoldings Fund II, Inc.",1038190
378,MUI,BlackRock Muni Intermediate Duration Fund,1232860
379,MUJ,MuniHolding New Jersey Insured Fund,1053988
380,MUS,MuniHoldings Insured Fund,1058234
381,MVC,MVC Capital,1099941
382,MVF,"MuniVest Fund, Inc.",835948
383,MVT,"BlackRock MuniVest Fund II, Inc.",897269
384,MXA,Minnesota Municipal Income Portfolio Inc.,902748
385,MXE,"The Mexico Equity & Income Fund, Inc.",863900
386,MXF,"The Mexico Fund, Inc",65433
387,MXN,"First American Minnesota Municipal Income Fund II, Inc",1183829
388,MYC,"MuniYield California Fund, Inc.",882152
389,MYD,"MuniYield Fund, Inc.",879361
390,MYF,"MuniYield Florida Fund, Inc.",882153
391,MYI,"MuniYield Insured Fund, Inc.",883412
392,MYJ,"MuniYield New Jersey Fund, Inc.",884216
393,MYM,"MuniYield Michigan Insured Fund II, Inc.",882151
394,MYN,"MuniYield New York Insured Fund, Inc.",882150
395,MZA,MuniYield Arizona Fund,911308
396,MZF,MBIA Capital/Claymore Managed Duration Investment Grade Municipal Fu,1235511
397,NAC,Nuveen California Dividend Advantage Municipal Fund,1074952
398,NAD,Nuveen Dividend Advantage Municipal Fund,1083839
399,NAI,AGIC International & Premium Strategy Fund,1319332
400,NAN,Nuveen New York Dividend Advantage Municipal Fund,1074769
401,NAZ,"Nuveen Arizona Premium Income Municipal Fund, Inc.",892992
402,NBH,Neuberger Berman Intermediate Municipal Fund,1178839
403,NBJ,Nuveen Ohio Dividend Advantage Municipal Fund 2,1145728
404,NBO,Neuberger Berman New York Intermediate Municipal Fund,1178841
405,NBW,Neuberger Berman California Intermediate Municipal Fund,1178840
406,NCA,"Nuveen California Municipal Value Fund, Inc.",818851
407,NCL,"Nuveen Insured California Premium Income Municipal Fund 2, Inc.",897422
408,NCO,"Nuveen California Municipal Market Opportunity Fund, Inc.",862313
409,NCP,"Nuveen California Performance Plus Municipal Fund, Inc.",856227
410,NCU,Nuveen California Premium Income Municipal Fund,905000
411,NCV,Nicholas Applegate Convertible & Income Fund,1214935
412,NCZ,Nicholas Applegate Convertible & Income Fund II,1227857
413,NDD,"Neuberger Berman Dividend Advantage Fund, Inc.",1276893
414,NEA,Nuveen Insured Tax-Free Advantage Municipal Fund,1195737
415,NFC,Nuveen Connecticut Dividend Advantage Municipal Fund,1090118
416,NFL,Nuveen Insured Florida Premium Income Municipal Fund,890893
417,NFM,Nuveen Maryland Dividend Advantage Municipal Fund,1090119
418,NFZ,Nuveen Arizona Dividend Advantage Municipal Fund,1087783
419,NGB,Nuveen Virginia Dividend Advantage Municipal Fund,1090122
420,NGK,Nuveen Connecticut Dividend Advantage Municipal Fund 2,1166572
421,NGO,Nuveen Connecticut Dividend Advantage Municipal Fund 3,1177218
422,NGX,Nuveen Insured Massachusetts Tax-Free Advantage Municipal Fund,1196366
423,NGZ,Nicholas Applegate Global Equity & Convertible Income Fund,1398481
424,NHS,Lehman Brothers First Trust Income Opportunity Fund,1228361
425,NIE,Nicholas Applegate Equity & Convertible Income Fund,1383441
426,NIF,"Nuveen Premier Insured Municipal Income Fund, Inc.",880843
427,NII,Nuveen North Carolina Dividend Advantage Municipal Fund 3,1177216
428,NIM,Nuveen Select Maturities Municipal Fund,890119
429,NIO,"Nuveen Insured Municipal Opportunity Fund, Inc.",878242
430,NKG,Nuveen Georgia Dividend Advantage Municipal Fund 2,1177219
431,NKL,Nuveen Insured California Dividend Advantage Municipal Fund,1090117
432,NKO,Nuveen Insured New York Dividend Advantage Municipal Fund,1090123
433,NKR,Nuveen Arizona Dividend Advantage Municipal Fund 2,1161069
434,NKX,Nuveen Insured California Tax-Free Advantage Municipal Fund,1195738
435,NMA,Nuveen Municipal Advantage Fund,857361
436,NMB,Nuveen Massachusetts Dividend Advantage Municipal Fund,1090120
437,NMD,Nuveen Municipal High Income Opportunity Fund 2,1412495
438,NMI,"Nuveen Municipal Income Fund, Inc.",830271
439,NMO,Nuveen Municipal Market Opportunity Fund,860188
440,NMP,"Nuveen Michigan Premium Income Municipal Fund, Inc.",890897
441,NMT,Nuveen Massachusetts Premium Income Municipal Fund,897419
442,NMY,Nuveen Maryland Premium Income Municipal Fund,897424
443,NMZ,Nuveen Municipal High Income Opportunity Fund,1266585
444,NNB,Nuveen Virginia Dividend Advantage Municipal Fund 2,1158728
445,NNC,Nuveen North Carolina Premium Income Municipal Fund,899761
446,NNF,"Nuveen Insured New York Premium Income Municipal Fund, Inc.",885712
447,NNJ,Nuveen New Jersey Premium Income Municipal Fund,890898
448,NNO,Nuveen North Carolina Dividend Advantage Municipal Fund 2,1158730
449,NNP,"Nuveen New York Performance Plus Municipal Fund, Inc.",856226
450,NNY,"Nuveen New York Municipal Value Fund, Inc.",818850
451,NOM,Nuveen Missouri Premium Income Municipal Fund,899782
452,NOX,Neuberger Berman Income Opportunity Fund,1227699
453,NPC,"Nuveen Insured California Premium Income Municipal Fund, Inc.",885711
454,NPF,"Nuveen Premier Municipal Income Fund, Inc.",880845
455,NPG,Nuveen Georgia Premium Income Municipal Fund,899758
456,NPI,"Nuveen Premium Income Municipal Fund, Inc.",833251
457,NPM,Nuveen Premium Income Municipal Fund 2,885734
458,NPP,"Nuveen Performance Plus Municipal Fund, Inc.",849998
459,NPT,Nuveen Premium Income Municipal Fund 4,896061
460,NPV,Nuveen Virginia Premium Income Municipal Fund,897421
461,NPX,Nuveen Insured Premium Income Municipal Fund 2,906959
462,NPY,"Nuveen Pennsylvania Premium Income Municipal Fund 2, Inc.",897427
463,NQC,"Nuveen California Investment Quality Municipal Fund, Inc.",868440
464,NQF,"Nuveen Florida Investment Quality Municipal Fund, Inc.",870779
465,NQI,"Nuveen Insured Quality Municipal Fund, Inc.",869405
466,NQJ,"Nuveen New Jersey Investment Quality Municipal Fund, Inc.",870778
467,NQM,"Nuveen Investment Quality Municipal Fund, Inc.",862716
468,NQN,"Nuveen New York Investment Quality Municipal Fund, Inc.",868449
469,NQP,Nuveen Pennsylvania Investment Quality Municipal Fund,870780
470,NQS,"Nuveen Select Quality Municipal Fund, Inc.",872064
471,NQU,"Nuveen Quality Income Municipal Fund, Inc.",874506
472,NRB,Nuveen North Carolina Dividend Advantage Municipal Fund,1090121
473,NRK,Nuveen Insured New York Tax-Free Advantage Municipal Fund,1195739
474,NRO,"Neuberger Berman Real Estate Securities Income Fund, Inc",1261166
475,NSL,Nuveen Senior Income Fund,1093428
476,NTC,Nuveen Connecticut Premium Income Municipal Fund,899752
477,NTX,"Nuveen Texas Quality Income Municipal Fund, Inc.",878201
478,NUC,"Nuveen California Quality Income Municipal Fund, Inc.",879826
479,NUF,"Nuveen Florida Quality Income Municipal Fund, Inc.",878180
480,NUJ,Nuveen New Jersey Dividend Advantage Municipal Fund 2,1161070
481,NUM,"Nuveen Michigan Quality Income Municipal Fund, Inc.",878198
